lang_id,code,name,percent,official
422,JOR,English,,no
423,KAZ,Kazakh,74,yes
424,KAZ,Russian,94.4,yes
425,KEN,English,,yes
426,KEN,Kiswahili,,yes
427,KEN,Other,,no
428,KIR,Kiribati,,no
429,KIR,English,,yes
430,PRK,Korean,,no
431,KOR,Korean,,no
432,KOR,English,,no
433,KWT,Arabic,,yes
434,KWT,English,,no
435,KGZ,Kyrgyz,71.4,yes
436,KGZ,Uzbek,14.4,no
437,KGZ,Russian,9,yes
438,KGZ,Other,5.2,no
439,LAO,Lao,,yes
440,LAO,French,,no
441,LAO,English,,no
442,LAO,Other,,no
443,LVA,Latvian,56.3,yes
444,LVA,Russian,33.8,no
445,LVA,Other,0.6,no
446,LVA,unspecified,9.4,no
447,LBN,Arabic,,yes
448,LBN,French,,no
449,LBN,English,,no
450,LBN,Armenian,,no
451,LSO,Sesotho,,yes
452,LSO,English,,yes
453,LSO,Zulu,,no
454,LSO,Xhosa,,no
455,LBR,English,20,yes
456,LBR,Other,,no
457,LBY,Arabic,,yes
458,LBY,Italian,,no
459,LBY,English,,no
460,LBY,Berber,,no
461,LIE,German,94.5,yes
462,LIE,Italian,1.1,no
463,LIE,Other,4.3,no
464,LTU,Lithuanian,82,yes
465,LTU,Russian,8,no
466,LTU,Polish,5.6,no
467,LTU,Other,0.9,no
468,LTU,unspecified,3.5,no
469,LUX,Luxembourgish,88.8,yes
470,LUX,French,4.2,yes
471,LUX,Portuguese,2.3,no
